Date,Days,Open,High,Low,Close,POC,VAH,VAL,IB High,IB Low,RE High,RE Low,RF,TPO Ab. POC,TPO Bl. POC,Total TPO,Range (pips),V.A Range,IB Range,Volume,Avg Volume,(VTY),TFF,Close %R,SF,Q1 TPO,Q2 TPO,Q3 TPO,Q4 TPO
6/13/2025,10,0.980690192,1.135029039,1.625238297,1.539525746,2.13650639,1.630515907,2.007865165,0.953097409,1.03523867,-0.000853714,-0.643465524,1.137362836,-1.901013037,0.472354192,-1.065324544,-1.003705091,-0.838773268,-1.379842288,-0.976746595,-0.970493163,-1.0318461,0.36500966,-0.65698051,-2.065573814,0.243126716,0.004746998,-1.292605369,-0.641596225
6/12/2025,10,1.154723052,1.153807632,1.671797832,1.34344594,2.212218989,1.718446316,1.883727493,1.185510088,1.152399446,-0.325045788,-0.558745855,0.861421812,-1.990400631,0.483678914,-1.11531911,-1.0262613,-0.483086646,0.036485867,-1.014544227,-1.037381469,-1.119879278,0.333143689,-0.107637711,-1.863383107,0.133400629,-0.361361544,-1.061481747,-0.543506529
6/11/2025,10,1.923704215,1.172277544,1.720221101,1.628281389,2.305326606,1.774365115,1.937612799,2.075152458,1.984237864,-1.565027854,0.116342665,0.655430677,-2.005951565,0.468689169,-1.122642101,-1.048702206,-0.471441382,0.424551456,-0.996589021,-1.020206905,-1.128889846,0.369089113,-0.744681421,-1.745217346,0.35513147,-0.723278136,-0.937255109,-0.529860774
6/10/2025,10,1.544020696,1.191202587,1.758170856,1.685348859,1.736429998,1.350938109,1.614731698,1.469208706,1.493306367,-0.656270462,-0.328406528,0.665957843,-0.595728104,-0.563640735,-1.11042518,-1.059389438,-0.570908934,-0.809430718,-0.975637829,-1.000054683,-1.119380641,0.41600127,-0.788084029,0.988129451,-0.198117708,-0.287076815,-0.882390367,-0.528589381
6/9/2025,10,0.956442874,1.137175143,1.797954419,1.859952085,1.774055503,1.368666793,1.709758888,0.870987953,0.919917449,0.129991961,-0.831828529,0.773603279,-0.783443256,-0.458299911,-1.15387479,-1.141418534,-0.68214403,-0.905179396,-0.974271109,-0.999113295,-1.160893745,0.559185213,-1.227490551,1.171602035,-0.503607711,-0.134792344,-0.87587392,-0.464397334
6/6/2025,10,0.912049095,1.154567716,1.839738675,1.875911752,1.813480885,1.389786115,1.817494783,0.877748605,0.979517894,0.137039484,-0.798063217,0.849460115,-1.096484552,-0.266602015,-1.203793877,-1.154567247,-0.799944401,-1.558458265,-1.002258581,-1.027047534,-1.209637706,0.510218989,-1.174940652,0.980189126,-1.015105966,-0.145849589,-0.715622193,-0.20194114
6/5/2025,10,0.782237374,1.172365951,1.585896358,1.507060909,1.854867772,1.406210076,1.78010752,0.825744562,0.86902359,0.2235857,-0.651496202,0.82911026,-1.42113465,0.05897037,-1.10404112,-0.810671301,-0.703227278,-0.806150652,-0.94137345,-0.967593908,-1.11281236,-0.125257987,-0.430171982,0.274382011,-1.099606734,-0.001482489,-0.198175942,-1.177444999
6/4/2025,10,0.70374069,1.190589682,1.539474942,0.849344189,1.161769611,1.165994807,1.495753241,0.647360281,0.594669783,0.482915236,-0.824474002,0.082083254,0.084776821,-1.05732161,-1.119074808,-0.723856419,-0.602226169,0.440054869,-0.940571187,-0.967124944,-1.128158333,-0.305750714,0.816359895,-0.38374311,-1.110481512,-0.389645243,-0.093005124,-0.770851125
6/3/2025,10,0.950877651,1.209260089,1.571540094,1.389785527,1.051620026,0.976306141,1.25981988,0.929066113,0.965331368,0.106548947,-0.528924089,-0.375099454,0.183189216,-1.131549141,-1.115472139,-0.731769304,-0.500385806,-0.75052303,-0.901069953,-0.928612472,-1.124900961,-0.282058438,-0.185260912,-0.342907033,-1.128579743,-0.812947231,0.061039497,-0.354459298
6/2/2025,10,1.119735281,1.228399828,1.60494726,0.717576906,1.052553697,0.850047099,1.24166558,1.285254883,1.212127368,-0.365737084,-0.338444965,-1.088467395,0.220791627,-1.171476899,-1.123135643,-0.739757355,-0.641329841,0.459561166,-0.883386131,-0.911527907,-1.135839222,-0.272436057,1.113270017,-0.248751226,-1.143487491,-1.009002007,0.236350886,-0.41761966
5/30/2025,10,0.919962767,1.24803316,1.639804661,0.978988304,1.05912469,0.859387569,1.267076715,0.879503831,0.831176078,0.209232548,-0.669516053,-0.56041454,0.210270158,-1.167690595,-1.12526904,-0.747822503,-0.65654938,0.284956669,-0.875121038,-0.903709025,-1.139219578,-0.255096338,0.638081436,-0.209868913,-1.148266533,-1.031009046,0.236957066,-0.371371638
5/29/2025,10,1.127677333,1.268186109,1.676233123,1.152960634,1.065757911,0.749570775,1.223056786,1.064743584,0.942388296,-0.028154065,-0.590642525,-0.502168519,0.097637608,-1.1559881,-1.212892973,-0.75596674,-0.738711932,1.096936784,-0.916185986,-0.944376413,-1.221175946,-0.34525748,0.320714642,-0.14852479,-1.145097797,-1.16466664,0.207650717,-0.315270942
