Date,Days,Dir,Act,Net,3D Dir,3D Act,3D Net,
6/13/2025,1,2,6,8,-10,10,0,
6/12/2025,1,-8,0,-8,-12,10,-2,
6/11/2025,1,-4,4,0,0,10,10,
6/10/2025,1,0,6,6,10,2,12,
6/9/2025,1,4,0,4,16,0,16,
6/6/2025,1,6,-4,2,16,2,18,
6/5/2025,1,6,4,10,14,8,22,
6/4/2025,1,4,2,6,0,-2,-2,
6/3/2025,1,4,2,6,-10,-6,-16,
6/2/2025,1,-8,-6,-14,-16,-8,-24,
5/30/2025,1,-6,-2,-8,-6,2,-4,
5/29/2025,1,-2,0,-2,6,12,18,
5/28/2025,1,2,4,6,14,4,18,
5/27/2025,1,6,8,14,18,2,20,
5/26/2025,1,6,-8,-2,10,-8,2,
5/23/2025,1,6,2,8,-4,2,-2,
5/22/2025,1,-2,-2,-4,-12,0,-12,
5/21/2025,1,-8,2,-6,-8,2,-6,
5/20/2025,1,-2,0,-2,-6,0,-6,
5/19/2025,1,2,0,2,-10,-6,-16,
5/16/2025,1,-6,0,-6,-16,-2,-18,
5/15/2025,1,-6,-6,-12,-2,-8,-10,
5/14/2025,1,-4,4,0,12,4,16,
5/13/2025,1,8,-6,2,18,-4,14,
5/12/2025,1,8,6,14,18,6,24,
5/9/2025,1,2,-4,-2,18,2,20,
5/8/2025,1,8,4,12,12,12,24,
5/7/2025,1,8,2,10,-2,2,0,
5/6/2025,1,-4,6,2,-12,6,-6,
5/5/2025,1,-6,-6,-12,-2,4,2,
