Date,Days,Dir,Act,Net,3D Dir,3D Act,3D Net
6/13/2025,3,-4,6,2,-12,16,4
6/12/2025,3,-4,6,2,-6,6,0
6/11/2025,3,-4,4,0,0,-8,-8
6/10/2025,3,2,-4,-2,12,-18,-6
6/9/2025,3,2,-8,-6,14,-8,6
6/6/2025,3,8,-6,2,10,-4,6
6/5/2025,3,4,6,10,-2,-4,-6
6/4/2025,3,-2,-4,-6,-12,-14,-26
6/3/2025,3,-4,-6,-10,-14,-4,-18
6/2/2025,3,-6,-4,-10,-10,6,-4
5/30/2025,3,-4,6,2,2,10,12
5/29/2025,3,0,4,4,14,-2,12
5/28/2025,3,6,0,6,14,-8,6
5/27/2025,3,8,-6,2,4,-6,-2
5/26/2025,3,0,-2,-2,-8,6,-2
5/23/2025,3,-4,2,-2,-16,12,-4
5/22/2025,3,-4,6,2,-18,10,-8
5/21/2025,3,-8,4,-4,-16,0,-16
5/20/2025,3,-6,0,-6,-14,-6,-20
5/19/2025,3,-2,-4,-6,-14,-8,-22
5/16/2025,3,-6,-2,-8,-12,-2,-14
5/15/2025,3,-6,-2,-8,0,-4,-4
5/14/2025,3,0,2,2,12,2,14
5/13/2025,3,6,-4,2,18,-2,16
5/12/2025,3,6,4,10,12,6,18
5/9/2025,3,6,-2,4,6,-4,2
5/8/2025,3,0,4,4,-4,-6,-10
5/7/2025,3,0,-6,-6,-4,-16,-20
5/6/2025,3,-4,-4,-8,-8,-2,-10
5/5/2025,3,0,-6,-6,-4,6,2
